GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290006003004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006003005,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004000,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004001,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004002,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290006004006,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001000,20.0,32.0,82.0,99.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001001,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001002,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001003,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001004,20.0,32.0,82.0,99.0,139.0,165.0,185.0,207.0,233.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007001005,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,233.0,245.0,274.0,280.0,300.0,321.0,335.0
360290007002000,20.0,32.0,82.0,96.0,139.0,165.0,185.0,207.0,233.0,245.0,274.0,280.0,300.0,321.0,335.0
